Team_Key,Team_Name,Division,Points,Week,Year,Opponent_Team_Key,Opponent_Team_Name,Opponent_Division,Opponent_Points
380.l.67583.t.1,Chadanno,No Division,116.26,1,2018,380.l.67583.t.8,Doc Y,No Division,125.22
380.l.67583.t.8,Doc Y,No Division,125.22,1,2018,380.l.67583.t.1,Chadanno,No Division,116.26
380.l.67583.t.2,#TheRealLandlord,No Division,136.66,1,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,126.16
380.l.67583.t.9,Pull out ur Chubb,No Division,126.16,1,2018,380.l.67583.t.2,#TheRealLandlord,No Division,136.66
380.l.67583.t.3,Herndonkey,No Division,118.18,1,2018,380.l.67583.t.5,Champ's Chosen Ones,No Division,92.64
380.l.67583.t.5,Champ's Chosen Ones,No Division,92.64,1,2018,380.l.67583.t.3,Herndonkey,No Division,118.18
380.l.67583.t.4,Fat Gagger,No Division,87.74,1,2018,380.l.67583.t.7,Hep C-ity All Stars,No Division,116.24
380.l.67583.t.7,Hep C-ity All Stars,No Division,116.24,1,2018,380.l.67583.t.4,Fat Gagger,No Division,87.74
380.l.67583.t.6,Sharknadoes,No Division,112.84,1,2018,380.l.67583.t.10,Year of Mitch,No Division,127.74
380.l.67583.t.10,Year of Mitch,No Division,127.74,1,2018,380.l.67583.t.6,Sharknadoes,No Division,112.84
380.l.67583.t.1,Chadanno,No Division,103.3,2,2018,380.l.67583.t.4,Fat Gagger,No Division,106.8
380.l.67583.t.4,Fat Gagger,No Division,106.8,2,2018,380.l.67583.t.1,Chadanno,No Division,103.3
380.l.67583.t.2,#TheRealLandlord,No Division,108.98,2,2018,380.l.67583.t.7,Hep C-ity All Stars,No Division,87.96
380.l.67583.t.7,Hep C-ity All Stars,No Division,87.96,2,2018,380.l.67583.t.2,#TheRealLandlord,No Division,108.98
380.l.67583.t.3,Herndonkey,No Division,123.68,2,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,114.94
380.l.67583.t.9,Pull out ur Chubb,No Division,114.94,2,2018,380.l.67583.t.3,Herndonkey,No Division,123.68
380.l.67583.t.5,Champ's Chosen Ones,No Division,95.76,2,2018,380.l.67583.t.10,Year of Mitch,No Division,179.98
380.l.67583.t.10,Year of Mitch,No Division,179.98,2,2018,380.l.67583.t.5,Champ's Chosen Ones,No Division,95.76
380.l.67583.t.6,Sharknadoes,No Division,112.1,2,2018,380.l.67583.t.8,Doc Y,No Division,119.04
380.l.67583.t.8,Doc Y,No Division,119.04,2,2018,380.l.67583.t.6,Sharknadoes,No Division,112.1
380.l.67583.t.1,Chadanno,No Division,99.14,3,2018,380.l.67583.t.2,#TheRealLandlord,No Division,118.32
380.l.67583.t.2,#TheRealLandlord,No Division,118.32,3,2018,380.l.67583.t.1,Chadanno,No Division,99.14
380.l.67583.t.3,Herndonkey,No Division,103.72,3,2018,380.l.67583.t.6,Sharknadoes,No Division,102.26
380.l.67583.t.6,Sharknadoes,No Division,102.26,3,2018,380.l.67583.t.3,Herndonkey,No Division,103.72
380.l.67583.t.4,Fat Gagger,No Division,114.8,3,2018,380.l.67583.t.10,Year of Mitch,No Division,150.96
380.l.67583.t.10,Year of Mitch,No Division,150.96,3,2018,380.l.67583.t.4,Fat Gagger,No Division,114.8
380.l.67583.t.5,Champ's Chosen Ones,No Division,87.84,3,2018,380.l.67583.t.8,Doc Y,No Division,108.48
380.l.67583.t.8,Doc Y,No Division,108.48,3,2018,380.l.67583.t.5,Champ's Chosen Ones,No Division,87.84
380.l.67583.t.7,Hep C-ity All Stars,No Division,87.74,3,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,105.98
380.l.67583.t.9,Pull out ur Chubb,No Division,105.98,3,2018,380.l.67583.t.7,Hep C-ity All Stars,No Division,87.74
380.l.67583.t.1,Chadanno,No Division,76.68,4,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,113.0
380.l.67583.t.9,Pull out ur Chubb,No Division,113.0,4,2018,380.l.67583.t.1,Chadanno,No Division,76.68
380.l.67583.t.2,#TheRealLandlord,No Division,116.48,4,2018,380.l.67583.t.10,Year of Mitch,No Division,136.96
380.l.67583.t.10,Year of Mitch,No Division,136.96,4,2018,380.l.67583.t.2,#TheRealLandlord,No Division,116.48
380.l.67583.t.3,Herndonkey,No Division,154.16,4,2018,380.l.67583.t.4,Fat Gagger,No Division,123.9
380.l.67583.t.4,Fat Gagger,No Division,123.9,4,2018,380.l.67583.t.3,Herndonkey,No Division,154.16
380.l.67583.t.5,Champ's Chosen Ones,No Division,130.94,4,2018,380.l.67583.t.6,Sharknadoes,No Division,135.56
380.l.67583.t.6,Sharknadoes,No Division,135.56,4,2018,380.l.67583.t.5,Champ's Chosen Ones,No Division,130.94
380.l.67583.t.7,Hep C-ity All Stars,No Division,68.42,4,2018,380.l.67583.t.8,Doc Y,No Division,136.88
380.l.67583.t.8,Doc Y,No Division,136.88,4,2018,380.l.67583.t.7,Hep C-ity All Stars,No Division,68.42
380.l.67583.t.1,Chadanno,No Division,100.62,5,2018,380.l.67583.t.7,Hep C-ity All Stars,No Division,99.04
380.l.67583.t.7,Hep C-ity All Stars,No Division,99.04,5,2018,380.l.67583.t.1,Chadanno,No Division,100.62
380.l.67583.t.2,#TheRealLandlord,No Division,101.9,5,2018,380.l.67583.t.5,Champ's Chosen Ones,No Division,143.5
380.l.67583.t.5,Champ's Chosen Ones,No Division,143.5,5,2018,380.l.67583.t.2,#TheRealLandlord,No Division,101.9
380.l.67583.t.3,Herndonkey,No Division,114.94,5,2018,380.l.67583.t.8,Doc Y,No Division,93.74
380.l.67583.t.8,Doc Y,No Division,93.74,5,2018,380.l.67583.t.3,Herndonkey,No Division,114.94
380.l.67583.t.4,Fat Gagger,No Division,129.8,5,2018,380.l.67583.t.6,Sharknadoes,No Division,138.18
380.l.67583.t.6,Sharknadoes,No Division,138.18,5,2018,380.l.67583.t.4,Fat Gagger,No Division,129.8
380.l.67583.t.9,Pull out ur Chubb,No Division,92.96,5,2018,380.l.67583.t.10,Year of Mitch,No Division,146.4
380.l.67583.t.10,Year of Mitch,No Division,146.4,5,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,92.96
380.l.67583.t.1,Chadanno,No Division,137.22,6,2018,380.l.67583.t.3,Herndonkey,No Division,127.2
380.l.67583.t.3,Herndonkey,No Division,127.2,6,2018,380.l.67583.t.1,Chadanno,No Division,137.22
380.l.67583.t.2,#TheRealLandlord,No Division,110.36,6,2018,380.l.67583.t.6,Sharknadoes,No Division,111.88
380.l.67583.t.6,Sharknadoes,No Division,111.88,6,2018,380.l.67583.t.2,#TheRealLandlord,No Division,110.36
380.l.67583.t.4,Fat Gagger,No Division,99.28,6,2018,380.l.67583.t.5,Champ's Chosen Ones,No Division,172.8
380.l.67583.t.5,Champ's Chosen Ones,No Division,172.8,6,2018,380.l.67583.t.4,Fat Gagger,No Division,99.28
380.l.67583.t.7,Hep C-ity All Stars,No Division,141.3,6,2018,380.l.67583.t.10,Year of Mitch,No Division,161.5
380.l.67583.t.10,Year of Mitch,No Division,161.5,6,2018,380.l.67583.t.7,Hep C-ity All Stars,No Division,141.3
380.l.67583.t.8,Doc Y,No Division,108.08,6,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,78.76
380.l.67583.t.9,Pull out ur Chubb,No Division,78.76,6,2018,380.l.67583.t.8,Doc Y,No Division,108.08
380.l.67583.t.1,Chadanno,No Division,158.86,7,2018,380.l.67583.t.5,Champ's Chosen Ones,No Division,148.46
380.l.67583.t.5,Champ's Chosen Ones,No Division,148.46,7,2018,380.l.67583.t.1,Chadanno,No Division,158.86
380.l.67583.t.2,#TheRealLandlord,No Division,112.68,7,2018,380.l.67583.t.4,Fat Gagger,No Division,126.84
380.l.67583.t.4,Fat Gagger,No Division,126.84,7,2018,380.l.67583.t.2,#TheRealLandlord,No Division,112.68
380.l.67583.t.3,Herndonkey,No Division,102.78,7,2018,380.l.67583.t.7,Hep C-ity All Stars,No Division,142.08
380.l.67583.t.7,Hep C-ity All Stars,No Division,142.08,7,2018,380.l.67583.t.3,Herndonkey,No Division,102.78
380.l.67583.t.6,Sharknadoes,No Division,101.42,7,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,70.92
380.l.67583.t.9,Pull out ur Chubb,No Division,70.92,7,2018,380.l.67583.t.6,Sharknadoes,No Division,101.42
380.l.67583.t.8,Doc Y,No Division,122.3,7,2018,380.l.67583.t.10,Year of Mitch,No Division,97.46
380.l.67583.t.10,Year of Mitch,No Division,97.46,7,2018,380.l.67583.t.8,Doc Y,No Division,122.3
380.l.67583.t.1,Chadanno,No Division,95.56,8,2018,380.l.67583.t.8,Doc Y,No Division,137.62
380.l.67583.t.8,Doc Y,No Division,137.62,8,2018,380.l.67583.t.1,Chadanno,No Division,95.56
380.l.67583.t.2,#TheRealLandlord,No Division,94.1,8,2018,380.l.67583.t.3,Herndonkey,No Division,116.36
380.l.67583.t.3,Herndonkey,No Division,116.36,8,2018,380.l.67583.t.2,#TheRealLandlord,No Division,94.1
380.l.67583.t.4,Fat Gagger,No Division,123.26,8,2018,380.l.67583.t.6,Sharknadoes,No Division,120.12
380.l.67583.t.6,Sharknadoes,No Division,120.12,8,2018,380.l.67583.t.4,Fat Gagger,No Division,123.26
380.l.67583.t.5,Champ's Chosen Ones,No Division,160.06,8,2018,380.l.67583.t.9,Pull out ur Chubb,No Division,139.8
380.l.67583.t.9,Pull out ur Chubb,No Division,139.8,8,2018,380.l.67583.t.5,Champ's Chosen Ones,No Division,160.06
380.l.67583.t.7,Hep C-ity All Stars,No Division,101.64,8,2018,380.l.67583.t.10,Year of Mitch,No Division,112.4
380.l.67583.t.10,Year of Mitch,No Division,112.4,8,2018,380.l.67583.t.7,Hep C-ity All Stars,No Division,101.64
380.l.67583.t.1,Chadanno,No Division,72.76,9,2018,380.l.67583.t.6,Sharknadoes,No Division,115.2
380.l.67583.t.6,Sharknadoes,No Division,115.2,9,2018,380.l.67583.t.1,Chadanno,No Division,72.76
380.l.67583.t.2,#TheRealLandlord,No Division,156.04,9,2018,380.l.67583.t.8,Doc Y,No Division,90.3
380.l.67583.t.8,Doc Y,No Division,90.3,9,2018,380.l.67583.t.2,#TheRealLandlord,No Division,156.04
