Team_Key,Team_Name,Points,Week,Year,Opponent_Team_Key,Opponent_Team_Name,Opponent_Points
380.l.67583.t.1,b'\xf0\x9f\x8c\x8aChadanno\xf0\x9f\x8f\x84',116.26,1,2018,380.l.67583.t.8,b'Doc Y',125.22
380.l.67583.t.8,b'Doc Y',125.22,1,2018,380.l.67583.t.1,b'\xf0\x9f\x8c\x8aChadanno\xf0\x9f\x8f\x84',116.26
380.l.67583.t.2,b'#TheRealLandlord',136.66,1,2018,380.l.67583.t.9,b'\xf0\x9f\x92\x84 Pull out ur Chubb\xf0\x9f\x92\x84',126.16
380.l.67583.t.9,b'\xf0\x9f\x92\x84 Pull out ur Chubb\xf0\x9f\x92\x84',126.16,1,2018,380.l.67583.t.2,b'#TheRealLandlord',136.66
380.l.67583.t.3,b'Herndonkey',118.18,1,2018,380.l.67583.t.5,"b""Champ's Chosen Ones""",92.64
380.l.67583.t.5,"b""Champ's Chosen Ones""",92.64,1,2018,380.l.67583.t.3,b'Herndonkey',118.18
380.l.67583.t.4,b'Fat Gagger',87.74,1,2018,380.l.67583.t.7,b'Hep C-ity All Stars',116.24
380.l.67583.t.7,b'Hep C-ity All Stars',116.24,1,2018,380.l.67583.t.4,b'Fat Gagger',87.74
380.l.67583.t.6,b'Sharknadoes',112.84,1,2018,380.l.67583.t.10,b'Year of Mitch',127.74
380.l.67583.t.10,b'Year of Mitch',127.74,1,2018,380.l.67583.t.6,b'Sharknadoes',112.84
380.l.67583.t.1,b'\xf0\x9f\x8c\x8aChadanno\xf0\x9f\x8f\x84',103.3,2,2018,380.l.67583.t.4,b'Fat Gagger',106.8
380.l.67583.t.4,b'Fat Gagger',106.8,2,2018,380.l.67583.t.1,b'\xf0\x9f\x8c\x8aChadanno\xf0\x9f\x8f\x84',103.3
380.l.67583.t.2,b'#TheRealLandlord',108.98,2,2018,380.l.67583.t.7,b'Hep C-ity All Stars',87.96
380.l.67583.t.7,b'Hep C-ity All Stars',87.96,2,2018,380.l.67583.t.2,b'#TheRealLandlord',108.98
380.l.67583.t.3,b'Herndonkey',123.68,2,2018,380.l.67583.t.9,b'\xf0\x9f\x92\x84 Pull out ur Chubb\xf0\x9f\x92\x84',114.94
380.l.67583.t.9,b'\xf0\x9f\x92\x84 Pull out ur Chubb\xf0\x9f\x92\x84',114.94,2,2018,380.l.67583.t.3,b'Herndonkey',123.68
380.l.67583.t.5,"b""Champ's Chosen Ones""",95.76,2,2018,380.l.67583.t.10,b'Year of Mitch',179.98
380.l.67583.t.10,b'Year of Mitch',179.98,2,2018,380.l.67583.t.5,"b""Champ's Chosen Ones""",95.76
380.l.67583.t.6,b'Sharknadoes',112.1,2,2018,380.l.67583.t.8,b'Doc Y',119.04
380.l.67583.t.8,b'Doc Y',119.04,2,2018,380.l.67583.t.6,b'Sharknadoes',112.1
380.l.67583.t.1,b'\xf0\x9f\x8c\x8aChadanno\xf0\x9f\x8f\x84',99.14,3,2018,380.l.67583.t.2,b'#TheRealLandlord',118.32
380.l.67583.t.2,b'#TheRealLandlord',118.32,3,2018,380.l.67583.t.1,b'\xf0\x9f\x8c\x8aChadanno\xf0\x9f\x8f\x84',99.14
380.l.67583.t.3,b'Herndonkey',103.72,3,2018,380.l.67583.t.6,b'Sharknadoes',102.26
380.l.67583.t.6,b'Sharknadoes',102.26,3,2018,380.l.67583.t.3,b'Herndonkey',103.72
380.l.67583.t.4,b'Fat Gagger',114.8,3,2018,380.l.67583.t.10,b'Year of Mitch',150.96
380.l.67583.t.10,b'Year of Mitch',150.96,3,2018,380.l.67583.t.4,b'Fat Gagger',114.8
380.l.67583.t.5,"b""Champ's Chosen Ones""",87.84,3,2018,380.l.67583.t.8,b'Doc Y',108.48
380.l.67583.t.8,b'Doc Y',108.48,3,2018,380.l.67583.t.5,"b""Champ's Chosen Ones""",87.84
380.l.67583.t.7,b'Hep C-ity All Stars',87.74,3,2018,380.l.67583.t.9,b'\xf0\x9f\x92\x84 Pull out ur Chubb\xf0\x9f\x92\x84',105.98
