Match ID,Season ID,Week Number,Home Team ID,Away Team ID,Home Team Actual Points,Away Team Actual Points,Home Team Projected Points,Away Team Projected Points
1_vs_5,2023,1,1,5,107.46,123.94,96.63,98.4
2_vs_6,2023,1,2,6,95.9,90.48,102.91,97.22
3_vs_4,2023,1,3,4,71.16,76.94,105.12,96.16
7_vs_10,2023,1,7,10,117.92,96.84,98.37,102.57
8_vs_9,2023,1,8,9,67.0,99.4,102.5,103.82
1_vs_7,2023,2,1,7,110.68,159.0,97.28,104.93
2_vs_8,2023,2,2,8,86.46,116.8,103.41,100.44
3_vs_5,2023,2,3,5,90.62,74.44,95.22,102.07
4_vs_9,2023,2,4,9,85.12,120.2,93.52,102.54
6_vs_10,2023,2,6,10,112.1,110.36,105.27,99.7
1_vs_8,2023,3,1,8,146.98,97.4,93.53,105.27
2_vs_9,2023,3,2,9,104.02,112.52,103.95,109.92
3_vs_10,2023,3,3,10,94.48,82.54,99.53,89.58
4_vs_6,2023,3,4,6,112.94,138.86,93.82,96.44
5_vs_7,2023,3,5,7,133.06,132.14,100.6,112.22
1_vs_9,2023,4,1,9,78.54,130.8,96.8,108.93
2_vs_5,2023,4,2,5,100.84,94.7,100.67,100.04
3_vs_6,2023,4,3,6,80.48,128.5,96.34,96.87
4_vs_7,2023,4,4,7,95.82,119.46,97.21,104.7
8_vs_10,2023,4,8,10,99.5,80.94,100.32,81.48
1_vs_2,2023,5,1,2,66.62,115.54,91.25,100.21
3_vs_8,2023,5,3,8,122.66,96.76,93.56,99.82
4_vs_5,2023,5,4,5,126.22,131.6,103.64,101.47
6_vs_7,2023,5,6,7,145.44,86.98,93.57,104.63
9_vs_10,2023,5,9,10,87.9,95.24,106.09,97.29
1_vs_10,2023,6,1,10,70.22,79.0,104.16,96.37
2_vs_4,2023,6,2,4,82.8,123.58,101.33,103.77
3_vs_7,2023,6,3,7,104.1,116.22,93.92,108.24
5_vs_9,2023,6,5,9,119.64,89.18,107.01,110.8
6_vs_8,2023,6,6,8,106.32,84.84,105.02,102.19
1_vs_3,2023,7,1,3,92.26,83.02,93.62,91.02
2_vs_7,2023,7,2,7,95.66,99.94,93.52,98.53
4_vs_8,2023,7,4,8,74.98,103.54,90.38,97.52
5_vs_10,2023,7,5,10,123.96,100.58,102.58,83.06
6_vs_9,2023,7,6,9,112.56,123.52,106.14,107.39
1_vs_5,2023,8,1,5,116.8,113.98,99.23,107.32
2_vs_4,2023,8,2,4,118.58,108.84,97.15,105.11
3_vs_9,2023,8,3,9,112.1,91.2,102.6,116.72
6_vs_8,2023,8,6,8,99.52,104.6,110.16,99.3
7_vs_10,2023,8,7,10,115.88,99.92,107.3,92.88
1_vs_6,2023,9,1,6,104.68,117.0,91.78,102.28
2_vs_3,2023,9,2,3,89.36,76.28,75.35,98.62
4_vs_10,2023,9,4,10,94.78,74.48,97.87,85.41
5_vs_8,2023,9,5,8,123.64,110.22,101.55,92.58
7_vs_9,2023,9,7,9,91.32,103.74,96.11,93.86
1_vs_4,2023,10,1,4,99.34,95.48,101.35,97.28
2_vs_10,2023,10,2,10,125.02,112.08,88.2,89.93
3_vs_9,2023,10,3,9,135.8,124.02,89.02,103.77
5_vs_6,2023,10,5,6,84.24,102.2,94.66,102.74
7_vs_8,2023,10,7,8,136.26,114.38,102.36,97.93
1_vs_7,2023,11,1,7,113.74,122.32,101.81,114.9
2_vs_6,2023,11,2,6,100.46,102.0,98.85,100.36
3_vs_5,2023,11,3,5,86.9,88.3,93.8,102.66
4_vs_9,2023,11,4,9,76.04,111.06,98.39,111.31
8_vs_10,2023,11,8,10,93.3,95.96,98.37,90.51
1_vs_6,2023,12,1,6,69.94,115.66,95.56,97.71
2_vs_9,2023,12,2,9,125.54,131.6,99.36,114.59
3_vs_10,2023,12,3,10,101.94,100.94,101.02,98.15
4_vs_8,2023,12,4,8,124.56,138.82,99.95,104.23
5_vs_7,2023,12,5,7,131.24,131.4,106.34,110.38
1_vs_10,2023,13,1,10,87.92,128.74,96.53,79.02
2_vs_8,2023,13,2,8,106.48,126.48,95.54,92.26
3_vs_7,2023,13,3,7,92.24,113.34,94.29,107.94
4_vs_5,2023,13,4,5,140.0,92.54,98.56,98.49
6_vs_9,2023,13,6,9,88.52,129.24,78.82,111.58
1_vs_3,2023,14,1,3,100.54,79.78,98.29,88.85
2_vs_7,2023,14,2,7,104.64,92.7,98.85,109.18
4_vs_6,2023,14,4,6,69.4,112.34,99.67,101.56
5_vs_10,2023,14,5,10,78.36,88.5,101.83,91.42
8_vs_9,2023,14,8,9,132.26,120.0,104.27,110.3
2_vs_9,2023,15,2,9,98.86,153.98,98.56,111.61
5_vs_8,2023,15,5,8,74.14,122.14,94.21,102.43
1_vs_10,2023,16,1,10,98.36,86.68,92.31,86.56
2_vs_5,2023,16,2,5,89.98,99.92,99.45,98.59
3_vs_4,2023,16,3,4,95.48,106.58,86.03,93.38
6_vs_9,2023,16,6,9,80.58,130.14,99.05,114.13
7_vs_8,2023,16,7,8,118.0,100.82,103.92,105.28
1_vs_4,2023,17,1,4,119.66,110.1,90.6,98.3
3_vs_10,2023,17,3,10,59.3,104.2,86.87,88.26
6_vs_8,2023,17,6,8,87.62,110.58,99.89,103.85
7_vs_9,2023,17,7,9,134.46,101.66,108.29,113.27
