year,team_id,owner_name,team_name,division_id
2018,1,danno,Chadanno,1
2018,2,Justin,#TheRealLandlord,2
2018,3,Michael,Herndonkey,2
2018,4,Alex,Fat Gagger,2
2018,5,Erick,Champ's Chosen Ones,1
2018,6,B,Sharknadoes,1
2018,7,James,Hep C-ity All Stars,1
2018,8,yide,Doc Y,2
2018,9,christopher,Pull out ur Chubb,1
2018,10,Drutah,Year of Mitch,2
2019,1,danno,Che Danno,2
2019,2,Justin,2 Cooper's 1 Kupp,1
2019,3,Erick,Champ's Chosen Ones,2
2019,4,yide,Doc Y,1
2019,5,Alex,BROTHER SHAMUS,1
2019,6,James,Hep C-ity Rejects,2
2019,7,Michael,Herndiggler,1
2019,8,B,Sharknadoes,2
2019,9,Drutah,Uno,1
2019,10,christopher,SBTF'ers,2
2020,1,danno,daniel,2
2020,2,Justin,Mixon It Up,1
2020,3,Erick,Champ's Chosen Ones,2
2020,4,yide,Doc Y,1
2020,5,Alex,BROTHER SHAMUS,1
2020,7,Michael,Herndiggler,1
2020,8,B,Sharknadoes,2
2020,10,christopher,SBTF'ers,2
2021,1,danno,Barry McCokiner,1
2021,2,Justin,T-REX AllStars,1
2021,3,Erick,Champ's Chosen Ones,2
2021,4,yide,Juan Afuk zeepincuzin,2
2021,5,Alex,SHIRT COCKING,1
2021,6,Michael,Mrs. Zeepincuzin,2
2021,7,B,Sharknadoes,2
2021,8,christopher,SBTF'ers,1
2022,1,danno,Barry McCokiner,1
2022,2,Erick,Champ's Chosen Ones,1
2022,3,Justus,When In Doubtâ Pull Out,2
2022,4,Josh,Sports Gloss,1
2022,5,Alex,SHIT CUNT BULLSHIT,2
2022,6,B,Sharknadoes,1
2022,7,christopher,Red Rocket,1
2022,8,Justin,Diggs in a Blanket,2
2022,9,Michael,Bone Zone,2
2022,12,yide,Luke Menoots,2
2023,1,danno,P01135809,1
2023,2,Justus,PAC 4 Playboys,2
2023,3,christopher,Rocket Man,1
2023,4,Alex,SHIT CUNT BULLSHIT,2
2023,5,Erick,Champ's Chosen Ones,1
2023,6,Justin,Diggs in a Blanket,2
2023,7,B,Sharknadoes,1
2023,8,Michael,BoneZone,2
2023,9,yide,Luke Menoots,2
2023,10,Josh,Zynfinity & Beyond,1
